cluster,prioridad,marca,modelo,versiones_relevantes,ejemplo_keyword_combinada
4 - Motos premium (ORO),Alta,Ducati,Panigale V4,V4 S; V4 R; V4 SP,Ducati Panigale V4 segunda mano
4 - Motos premium (ORO),Alta,Ducati,Monster,821; 937; 1200,Ducati Monster 1200 ocasión
4 - Motos premium (ORO),Alta,Ducati,Multistrada,V4; V4 S; 1260,Ducati Multistrada V4 segunda mano
4 - Motos premium (ORO),Alta,Ducati,Scrambler,Icon; Desert Sled; 1100,Ducati Scrambler 1100 ocasión
4 - Motos premium (ORO),Alta,Ducati,916/996 (clásica),916; 996; 998,Ducati 916 clásica venta
4 - Motos premium (ORO),Alta,MV Agusta,Brutale,800; 1000 RR,MV Agusta Brutale 1000 segunda mano
4 - Motos premium (ORO),Alta,MV Agusta,F3,675; 800,MV Agusta F3 800 ocasión
4 - Motos premium (ORO),Alta,MV Agusta,Superveloce,800,MV Agusta Superveloce 800 segunda mano
4 - Motos premium (ORO),Alta,Triumph,Bonneville,T100; T120; Speed Twin,Triumph Bonneville T120 ocasión
4 - Motos premium (ORO),Alta,Triumph,Speed Triple,1200 RS; 1050,Triumph Speed Triple 1200 segunda mano
4 - Motos premium (ORO),Alta,Triumph,Street Triple,765 RS; 765 R,Triumph Street Triple 765 ocasión
4 - Motos premium (ORO),Alta,Triumph,Rocket 3,GT; R,Triumph Rocket 3 GT segunda mano
4 - Motos premium (ORO),Alta,Harley-Davidson,Fat Boy,114; 117,Harley Davidson Fat Boy segunda mano
4 - Motos premium (ORO),Alta,Harley-Davidson,Road King,Special; Classic,Harley Davidson Road King ocasión
4 - Motos premium (ORO),Alta,Harley-Davidson,Sportster,Iron 883; Forty-Eight,Harley Davidson Iron 883 segunda mano
4 - Motos premium (ORO),Alta,BMW Motorrad,R nineT,Pure; Scrambler; Urban GS,BMW R nineT segunda mano
4 - Motos premium (ORO),Alta,BMW Motorrad,S 1000 RR,M; RR,BMW S 1000 RR ocasión
4 - Motos premium (ORO),Alta,BMW Motorrad,GS 1250,Adventure; GSA,BMW GS 1250 Adventure segunda mano
4 - Motos premium (ORO),Media,Moto Guzzi,V7,Stone; Special; III,Moto Guzzi V7 segunda mano
4 - Motos premium (ORO),Media,Aprilia,RSV4,Factory; RR,Aprilia RSV4 Factory segunda mano
4 - Motos premium (ORO),Media,Aprilia,Tuono,V4; 1100,Aprilia Tuono V4 ocasión
4 - Motos premium (ORO),Media,KTM,Super Duke,1290 R; GT,KTM 1290 Super Duke R segunda mano
3 - Clásicos y youngtimers (ORO),Alta,Porsche,911 (clásico),964; 993; 996; 997,Porsche 911 993 segunda mano
3 - Clásicos y youngtimers (ORO),Alta,Porsche,928,S4; GTS,Porsche 928 clásico venta
3 - Clásicos y youngtimers (ORO),Alta,Porsche,944,S2; Turbo,Porsche 944 Turbo segunda mano
3 - Clásicos y youngtimers (ORO),Alta,Mercedes-Benz,SL,R107; R129,Mercedes SL R129 ocasión
3 - Clásicos y youngtimers (ORO),Alta,Mercedes-Benz,190E,2.3-16; 2.5-16,Mercedes 190E 2.3-16 venta
3 - Clásicos y youngtimers (ORO),Alta,Mercedes-Benz,SLK/CLK,320; 430 AMG,Mercedes CLK 430 AMG segunda mano
3 - Clásicos y youngtimers (ORO),Alta,BMW,E30,325i; M3,BMW E30 M3 clásico venta
3 - Clásicos y youngtimers (ORO),Alta,BMW,Z3,M Coupe; M Roadster,BMW Z3 M Coupe segunda mano
3 - Clásicos y youngtimers (ORO),Alta,BMW,8 Series,E31; 850CSi,BMW 850CSi clásico venta
3 - Clásicos y youngtimers (ORO),Alta,Audi,Quattro,Coupe; Sport,Audi Quattro clásico venta
3 - Clásicos y youngtimers (ORO),Alta,Audi,TT,Mk1; 3.2 quattro,Audi TT Mk1 segunda mano
3 - Clásicos y youngtimers (ORO),Alta,Jaguar,E-Type,Series 1; 2; 3,Jaguar E-Type clásico venta
3 - Clásicos y youngtimers (ORO),Alta,Jaguar,XJS,XJS V12,Jaguar XJS segunda mano
3 - Clásicos y youngtimers (ORO),Alta,Alfa Romeo,GTV/Spider,916; Twin Spark,Alfa Romeo GTV segunda mano
3 - Clásicos y youngtimers (ORO),Alta,Ferrari,308/328,308 GTB; 328 GTS,Ferrari 328 GTS clásico venta
3 - Clásicos y youngtimers (ORO),Alta,Lamborghini,Countach,LP400; LP500,Lamborghini Countach clásico venta
3 - Clásicos y youngtimers (ORO),Media,Volkswagen,Golf GTI (clásico),Mk1; Mk2,Volkswagen Golf GTI Mk2 clásico
3 - Clásicos y youngtimers (ORO),Media,Lancia,Delta,Integrale,Lancia Delta Integrale venta
3 - Clásicos y youngtimers (ORO),Media,Land Rover,Defender (clásico),90; 110,Land Rover Defender 90 clásico venta
1 - Supercars/hypercars,Media,Ferrari,488,GTB; Pista,Ferrari 488 GTB segunda mano
1 - Supercars/hypercars,Media,Ferrari,F8,Tributo; Spider,Ferrari F8 Tributo ocasión
1 - Supercars/hypercars,Media,Lamborghini,Huracán,EVO; STO,Lamborghini Huracán EVO segunda mano
1 - Supercars/hypercars,Media,Lamborghini,Aventador,S; SVJ,Lamborghini Aventador S ocasión
1 - Supercars/hypercars,Media,McLaren,720S,Spider,McLaren 720S segunda mano
1 - Supercars/hypercars,Media,Porsche,911 Turbo,Turbo S,Porsche 911 Turbo S segunda mano
2 - Deportivos premium,Media,Porsche,911 (992),Carrera; Carrera S; GTS,Porsche 911 Carrera S segunda mano
2 - Deportivos premium,Media,Porsche,911 GT3,GT3; GT3 RS,Porsche 911 GT3 RS segunda mano
2 - Deportivos premium,Media,BMW,M3,Competition; CS,BMW M3 Competition segunda mano
2 - Deportivos premium,Media,BMW,M4,Competition; CSL,BMW M4 Competition ocasión
2 - Deportivos premium,Media,Mercedes-AMG,C63,AMG C63 S,Mercedes AMG C63 S segunda mano
2 - Deportivos premium,Media,Audi,RS6,Avant,Audi RS6 Avant segunda mano
5 - Luxury/executive,Baja,Rolls-Royce,Ghost,Black Badge,Rolls Royce Ghost segunda mano
5 - Luxury/executive,Baja,Rolls-Royce,Phantom,Extended,Rolls Royce Phantom ocasión
5 - Luxury/executive,Baja,Bentley,Continental GT,Speed,Bentley Continental GT segunda mano
5 - Luxury/executive,Baja,Bentley,Bentayga,V8; Speed,Bentley Bentayga segunda mano
5 - Luxury/executive,Baja,Maserati,GranTurismo,S; MC,Maserati GranTurismo segunda mano
