Prioridad,ID,Acción,Descripción detallada,Impacto,Esfuerzo,Riesgo,Área,Tipo,Sprint,Estado
Crítico,T01,Unificar variable URL de producción,"Asegurarse de que robots.ts y sitemap.ts usan la misma variable de entorno que apunta al dominio real en Vercel. Actualmente NEXT_PUBLIC_APP_URL apunta a localhost en .env.local y hay un fallback a blackseriesmarket.com que puede ser incorrecto.",Alto,Bajo,Alto si está mal,Técnico — Configuración,Config,Quick Win,Pendiente
Crítico,T02,Añadir schema Organization + WebSite en home,"Añadir JSON-LD en app/layout.tsx o app/(public)/page.tsx con @type: Organization (name, url, logo, sameAs con perfiles verificados) y @type: WebSite con SearchAction para Sitelinks Searchbox. Crítico para GEO.",Alto,Bajo,Bajo,Schema — GEO,Dev,Quick Win,Pendiente
Crítico,T03,"Añadir metadata en /coches, /motos, /dealers, /marcas, /contacto, /precios, /buscar, /mis-favoritos","Añadir export const metadata con title y description en estas 8 páginas sin metadatos. Títulos sugeridos: /coches → 'Coches premium en venta en España | Black Label Market'; /motos → 'Motos premium en venta en España | Black Label Market'; /dealers → 'Showrooms seleccionados | Black Label Market'; /marcas → 'Marcas | Black Label Market'; /contacto → 'Contacto | Black Label Market'; /precios → 'Planes para profesionales | Black Label Market'. Sin esto Google genera títulos automáticos subóptimos.",Alto,Bajo,Bajo,On-page — Metadatos,Dev,Quick Win,Pendiente
Crítico,T04,Corregir schema Product → Car/MotorVehicle en fichas de vehículo,"Las fichas de coches usan @type: Product cuando deberían usar @type: Car (para coches) y @type: MotorVehicle o Motorcycle (para motos). Activar el rich result correcto de vehículos.",Alto,Bajo,Bajo,Schema — Rich Results,Dev,Quick Win,Pendiente
Crítico,T05,Añadir canonical self-referencial en páginas paginadas,"Las páginas /coches?page=2 etc. no tienen canonical. Añadir alternates.canonical en el objeto metadata de coches y motos apuntando a la URL con parámetro de página actual.",Alto,Bajo,Bajo,Técnico — Indexación,Dev,Quick Win,Pendiente
Alto,T06,Añadir schema BreadcrumbList,"Implementar BreadcrumbList en fichas de vehículo (Home > Coches > Ferrari > Ferrari 488 GTB 2019), en perfiles de dealer (Home > Showrooms > [Nombre]) y en páginas de marca (Home > Marcas > Ferrari).",Alto,Bajo,Bajo,Schema — Rich Results,Dev,Semana 1-2,Pendiente
Alto,T07,Añadir schema FAQPage en /como-funciona,"Marcar el contenido estructurado de preguntas y respuestas de /como-funciona con FAQPage JSON-LD. Aumenta la superficie en SERP y mejora recuperación por LLMs.",Alto,Bajo,Bajo,Schema — GEO,Dev,Quick Win,Pendiente
Alto,T08,Configurar og:image global,"Crear imagen de marca 1200×630px y añadirla como og:image en el metadata global de layout.tsx. Sin esto las páginas de listado y home aparecen sin imagen al compartir en redes.",Medio,Bajo,Bajo,On-page — Social,Config + Diseño,Quick Win,Pendiente
Alto,T09,Configurar Twitter/X Cards globales,"Añadir twitter:card, twitter:title, twitter:description y twitter:image en el metadata global.",Medio,Bajo,Bajo,On-page — Social,Dev,Quick Win,Pendiente
Alto,T10,"Añadir /vehiculos-a-la-carta y /como-funciona al sitemap","Estas dos páginas existen y tienen valor SEO pero no están en el sitemap dinámico. Añadirlas a las staticRoutes en app/sitemap.ts.",Medio,Bajo,Bajo,Técnico — Rastreo,Dev,Quick Win,Pendiente
